stimulus,confidence,property
5_berenjena,0.8807621860519397,0.5954953381269259
2_mango,0.38649538875246725,0.7785725948805028
Captura_de_pantalla_2023-03-14_112329-removebg-preview,0.833090097518716,0.9616174628586205
3_fresas,0.7455400193889677,0.44491208443734875
manzana-removebg-preview,0.01722718800215527,0.8119075075715392
7_remolacha-removebg-preview,0.7700117107602313,0.799256520379816
1_perejil-removebg-preview,0.42629454775555997,0.4865006050733012
0_champinones-removebg-preview,0.21356636967327255,0.5904963862555261
pimiento,0.36134039440090066,0.2861837923802393
3_calabaza-removebg-preview,0.636536774562425,0.008048682938861518
tomate (1) (1),0.5772308141423967,0.6436571269085719
6_ajo-removebg-preview (1),0.061376846840479386,0.49274773202173405
1_calabacines (1) (1),0.08038843931329678,0.23547076780826093
0_higo-removebg-preview,0.9385645856506981,0.3952404726999932
melocoton-1-removebg-preview,0.8574497214393821,0.17481194165488279
1_aguacate-removebg-preview,0.2107592901088903,0.3865942864658273
2_edamame-removebg-preview,0.6885243943620566,0.22669500491301475
3_brocoli-removebg-preview,0.2506015795155947,0.08207924810429768
2_nispero-removebg-preview (1),0.22241258365690345,0.7577455152542067
0_pepino-removebg-preview,0.4458338185383904,0.16610082574831642
5_repollo-removebg-preview,0.5921887936897928,0.35846207532276686
