stimulus,confidence,property
5_berenjena,0.4809550596036495,0.4410719724687612
2_mango,0.7043155774442431,0.4158345778471536
Captura_de_pantalla_2023-03-14_112329-removebg-preview,0.7847756525356047,0.9740829170935646
3_fresas,0.9976770023926232,0.524024995615119
manzana-removebg-preview,0.05334066423459793,0.7242270211468427
7_remolacha-removebg-preview,0.40766553969870495,0.22092388125035944
1_perejil-removebg-preview,0.2677639237131304,0.4727652313286216
0_champinones-removebg-preview,0.1345951440220835,0.473057863466562
pimiento,0.5835367104303777,0.3823294136716706
3_calabaza-removebg-preview,0.5760113783598991,0.4959724081669684
tomate (1) (1),0.5681198957569428,0.661283287752578
6_ajo-removebg-preview (1),0.09523684314448246,0.1257221685795168
1_calabacines (1) (1),0.1358202127860401,0.26438626515312313
0_higo-removebg-preview,0.47693971105300453,0.6548158146922426
melocoton-1-removebg-preview,0.7223403165734605,0.12394494875703599
1_aguacate-removebg-preview,0.5937797739665422,0.8172356138331047
2_edamame-removebg-preview,0.49553225007047974,0.2634646326981306
3_brocoli-removebg-preview,0.25540288929181487,0.6211619594910119
2_nispero-removebg-preview (1),0.5747134009813777,0.13848419474746876
0_pepino-removebg-preview,0.3893934795212978,0.7273587066645046
5_repollo-removebg-preview,0.30470125920285,0.18990694063839708
