stimulus,confidence,property
6_ajo-removebg-preview (1),0.19417804409565867,0.2362417896243285
tomate (1) (1),0.46253921563726075,0.5198392642851523
1_calabacines (1),1.7141250991445334e-17,0.12395249698011679
5_berenjena,0.31419366497491186,0.7746492606708513
2_mango,0.4759050975328735,0.3002972604224723
4_pimiento,0.4363881076611452,0.8021229022497852
Captura_de_pantalla_2023-03-14_112329-removebg-preview,0.9959164371241473,0.8041503989962855
3_fresas,0.3589362960636085,0.9756866586248825
3_calabaza-removebg-preview,0.5727273538804697,0.8130854757440493
2_edamame-removebg-preview,0.7311736144523816,0.6850765382524986
1_aguacate-removebg-preview,0.7673028434794977,0.9725287454906586
2_nispero-removebg-preview,0.27667762116421946,0.642113175124084
3_brocoli-removebg-preview,0.8964345241416293,0.5832622605830498
0_pepino-removebg-preview,0.1913900428359434,0.3868490838439641
1_perejil-removebg-preview,0.8354626665922906,0.23982092579480085
5_repollo,0.8314958697867867,0.45113109149510566
melocoton-1-removebg-preview,0.5307955552409672,0.625539697573017
0_higo-removebg-preview,0.6466429183650747,0.8494160192832272
7_remolacha-removebg-preview,0.7883979539256551,0.5366052098963203
manzana-removebg-preview,0.6953544600188042,0.0
0_champinones-removebg-preview,0.13040877551433397,0.7462547295756676
