stimulus,confidence,property
5_berenjena,0.8056302495674293,0.6770056012043186
2_mango,0.9746198870164683,0.3338084409371491
Captura_de_pantalla_2023-03-14_112329-removebg-preview,0.8401449586599435,0.9962788688482846
3_fresas,0.959673561550431,0.8408273525511065
manzana-removebg-preview,0.01722059281238336,0.7277730914644653
7_remolacha-removebg-preview,0.508042549234384,0.41920343106119506
1_perejil-removebg-preview,0.13861818664533715,0.18224579641150918
0_champinones-removebg-preview,0.660013046911098,0.717760809471358
pimiento,0.427946430856912,0.15120728749381074
3_calabaza-removebg-preview,0.24266764984707176,0.8945839116042241
tomate (1) (1),0.6640691990364247,0.49047935056124625
6_ajo-removebg-preview (1),0.13659584964656923,0.3147377565962284
1_calabacines (1) (1),0.2665359721064576,0.027638093395028207
0_higo-removebg-preview,0.48490184368140116,0.6271945606058744
melocoton-1-removebg-preview,0.9807885713206617,0.5410782061575835
1_aguacate-removebg-preview,0.2814504113716983,0.4370265408537308
2_edamame-removebg-preview,0.3897442645368758,0.32008077082328024
3_brocoli-removebg-preview,0.2396364979762876,0.6560981511172155
2_nispero-removebg-preview (1),0.7892850607920491,0.33451055841733257
0_pepino-removebg-preview,0.38457230854624785,0.8217666572408062
5_repollo-removebg-preview,0.5029646388525497,0.31257480456666464
