stimulus,confidence,property
5_berenjena,0.1669373624308517,0.4509244929059685
2_mango,0.811414605259365,0.4907934142152648
Captura_de_pantalla_2023-03-14_112329-removebg-preview,0.974355930474401,0.9833360993806414
3_fresas,0.994140155042324,0.5496027793255882
manzana-removebg-preview,0.0172065132910759,0.6202751363753656
7_remolacha-removebg-preview,0.4675111581455198,0.25715396657800227
1_perejil-removebg-preview,0.2925144175148143,0.22901529959193145
0_champinones-removebg-preview,0.2885810226670029,0.5667906622335622
pimiento,0.32109982500541934,0.023593029264749932
3_calabaza-removebg-preview,0.4980991721032283,0.49765847463774204
tomate (1) (1),0.5094382473670983,0.6488610424005552
6_ajo-removebg-preview (1),0.08439945432010405,0.3158481328919528
1_calabacines (1) (1),0.19852899478176284,0.29651006962199
0_higo-removebg-preview,0.7686629769608366,0.3285049541875442
melocoton-1-removebg-preview,0.6225628181998863,0.3194612831619944
1_aguacate-removebg-preview,0.6370068329589005,0.5241032111300585
2_edamame-removebg-preview,0.2896287826474526,0.3571345444369447
3_brocoli-removebg-preview,0.4039618174081133,0.3979584164964505
2_nispero-removebg-preview (1),0.5692817454792591,0.14602301043549426
0_pepino-removebg-preview,0.18726248845977486,0.2170108603847697
5_repollo-removebg-preview,0.4067219595661792,0.10016076062626167
