stimulus,confidence,property
5_berenjena,0.5375439307414647,0.6758544105078454
2_mango,0.800280391586523,0.37551798846003803
Captura_de_pantalla_2023-03-14_112329-removebg-preview,0.8215800872856427,1.0
3_fresas,0.9819417197675686,0.3955468153962143
manzana-removebg-preview,0.03167806812816555,0.6490914050088306
7_remolacha-removebg-preview,0.46430231139775924,0.7292901285014847
1_perejil-removebg-preview,0.3054947008163649,0.2221505990171363
0_champinones-removebg-preview,0.3435919124020697,0.7621052235973284
pimiento,0.8176337123273202,0.6134463525524925
3_calabaza-removebg-preview,0.7007260366470706,0.8656049938481114
tomate (1) (1),0.6394323441722689,0.4775537950066221
6_ajo-removebg-preview (1),0.16701844116833386,0.8951007436120003
1_calabacines (1) (1),0.4312653952617954,0.17976261185211562
0_higo-removebg-preview,0.39797902418586245,0.31654594322816976
melocoton-1-removebg-preview,0.8178248735134935,0.4630513059126643
1_aguacate-removebg-preview,0.9169445324511923,0.6813758690195945
2_edamame-removebg-preview,0.1336116133832786,0.6903917164468778
3_brocoli-removebg-preview,0.5397466842142333,0.46191635392270836
2_nispero-removebg-preview (1),0.7954575703845393,0.6595003400624556
0_pepino-removebg-preview,0.3664368569681642,0.07004837101483707
5_repollo-removebg-preview,0.645039740342224,0.20868439378028147
