stimulus,confidence,property
6_ajo-removebg-preview (1),0.7434371971599187,0.2879718546611799
tomate (1) (1),0.5799262308921775,0.38080567176477387
1_calabacines (1),0.018545048270426308,0.1137227013963712
5_berenjena,0.7230503846441263,0.7212528802658421
2_mango,0.22267085220586888,0.3900351513397935
4_pimiento,0.7069871766953666,0.5023681944450566
Captura_de_pantalla_2023-03-14_112329-removebg-preview,0.9350846612617534,0.8371637292471654
3_fresas,0.28807010475861494,0.8628193925988437
3_calabaza-removebg-preview,0.9388812464534261,0.7071795064835533
2_edamame-removebg-preview,0.5507174062659296,0.20467745058580744
1_aguacate-removebg-preview,0.27418056117399453,0.694300889827496
2_nispero-removebg-preview,0.22897579669623333,0.5522620282118345
3_brocoli-removebg-preview,0.5488671741395901,0.5652439234451031
0_pepino-removebg-preview,0.13186089582190436,0.12646941397794753
1_perejil-removebg-preview,0.6787718656745106,0.09046310269731606
5_repollo,0.4101623310176768,0.7202688780864557
melocoton-1-removebg-preview,0.5940327345323198,0.769223560422861
0_higo-removebg-preview,0.45061256887479595,0.8533837736624432
7_remolacha-removebg-preview,0.34792266927285853,0.517772605153616
manzana-removebg-preview,0.3941817704846468,0.42724967157082316
0_champinones-removebg-preview,0.36960773927924195,0.2818361946639164
