stimulus,confidence,property
5_berenjena,0.34090213506806266,0.5686739283448177
2_mango,0.6116792890736031,0.5465948258256677
Captura_de_pantalla_2023-03-14_112329-removebg-preview,0.7150002947740578,0.9644354699085244
3_fresas,0.9099719740671092,0.39540210348209526
manzana-removebg-preview,0.03517766945602138,0.6869066365895395
7_remolacha-removebg-preview,0.33034519915924454,0.4525009175789294
1_perejil-removebg-preview,0.1011084220467192,0.23499524027508634
0_champinones-removebg-preview,0.42257923960350613,0.3170652773220358
pimiento,0.4412127768054603,0.5179217315516134
3_calabaza-removebg-preview,0.5376935653349949,0.7209538303459151
tomate (1) (1),0.5382118876663204,0.557863347447336
6_ajo-removebg-preview (1),0.5110987143313391,0.33448528135117095
1_calabacines (1) (1),0.06913944870804768,0.15473717880465354
0_higo-removebg-preview,0.7209493777926209,0.604905149414926
melocoton-1-removebg-preview,0.826669524883935,0.5870894328285772
1_aguacate-removebg-preview,0.6227478875578658,0.6707486221414107
2_edamame-removebg-preview,0.2522271359580905,0.6173712272249913
3_brocoli-removebg-preview,0.1603223470258073,0.3057385726401546
2_nispero-removebg-preview (1),0.7485734095178863,0.5190214952420021
0_pepino-removebg-preview,0.6185646268165232,0.8539379365288549
5_repollo-removebg-preview,0.2520882858313829,0.4588270922140698
