stimulus,confidence,property
5_berenjena,0.5022494472721835,0.36440192194616516
2_mango,0.7883844532799211,0.43428411419441637
Captura_de_pantalla_2023-03-14_112329-removebg-preview,0.7283999764791838,0.8222777587896688
3_fresas,0.9089146671309353,0.49849862949448387
manzana-removebg-preview,0.09478566437747123,0.6881951542740321
7_remolacha-removebg-preview,0.609956067263861,0.3201448779850824
1_perejil-removebg-preview,0.35719239620569776,0.46077563049686976
0_champinones-removebg-preview,0.13727679355972353,0.3976757218904209
pimiento,0.22298839183986732,0.564087893800102
3_calabaza-removebg-preview,0.8002048310945987,0.1545155391262123
tomate (1) (1),0.6253810901379261,0.5596940446324195
6_ajo-removebg-preview (1),0.4313840641242627,0.1831627913909718
1_calabacines (1) (1),0.22405188363956943,0.06580100152724477
0_higo-removebg-preview,0.7199396703478536,0.3386153614423887
melocoton-1-removebg-preview,0.5763215632580584,0.2265598288895464
1_aguacate-removebg-preview,0.8344724621423831,0.25240461544514226
2_edamame-removebg-preview,0.25762301092146606,0.30951005399454545
3_brocoli-removebg-preview,0.34530198639043574,0.6323937167675562
2_nispero-removebg-preview (1),0.4868905811942884,0.6149136071903432
0_pepino-removebg-preview,0.5629777001344347,0.7326852358739588
5_repollo-removebg-preview,0.42959107074907316,0.5332947469088754
