stimulus,confidence,property
6_ajo-removebg-preview (1),0.8196016702370834,0.5924385601680926
tomate (1) (1),0.61258709005894,0.4645413080285531
1_calabacines (1),0.017957076643638045,0.19895212722460587
5_berenjena,0.5258709851997575,0.2468573384722622
2_mango,0.6161745608153009,0.6427240244374286
4_pimiento,0.16316958131579848,0.4122345938559747
Captura_de_pantalla_2023-03-14_112329-removebg-preview,0.9583004431171142,0.739962480355558
3_fresas,0.48556670542736924,1.0
3_calabaza-removebg-preview,0.16287633387931993,0.17627423301103318
2_edamame-removebg-preview,0.8450767658586827,0.4164798045872822
1_aguacate-removebg-preview,0.8222487996382376,0.9068803040288819
2_nispero-removebg-preview,0.8071876569426256,0.7464649657200579
3_brocoli-removebg-preview,0.48486583671444733,0.5193852893675458
0_pepino-removebg-preview,0.02451250835481993,0.4465752512174739
1_perejil-removebg-preview,0.30046321015831384,0.42612081467414153
5_repollo,0.33143599159050224,0.14594612352456982
melocoton-1-removebg-preview,0.33436294743706313,0.8014487196458226
0_higo-removebg-preview,0.6687716594801987,0.24264884365289263
7_remolacha-removebg-preview,0.3284133589240434,0.5549540020179999
manzana-removebg-preview,0.33042078297311267,0.28959688788772964
0_champinones-removebg-preview,0.1656573142692776,0.6504515667734443
