stimulus,confidence,property
5_berenjena,0.4604830560513925,0.8376263474977967
2_mango,0.7877307627745919,0.05355454091492984
Captura_de_pantalla_2023-03-14_112329-removebg-preview,0.8485021346034579,0.9458755041963094
3_fresas,0.9972257464549797,0.558505974312618
manzana-removebg-preview,0.028625089629236343,0.78530092541349
7_remolacha-removebg-preview,0.27653697645984066,0.7348377429392416
1_perejil-removebg-preview,0.6249313478782332,0.8197237718799946
0_champinones-removebg-preview,0.43216354810180746,0.40929909688247623
pimiento,0.09981859767404541,0.185833333583296
3_calabaza-removebg-preview,0.4575551571248882,0.5564510311073105
tomate (1) (1),0.5831338431191371,0.6441943802168655
6_ajo-removebg-preview (1),0.8597873237209684,0.6212290704468231
1_calabacines (1) (1),0.16723305773923233,0.006069439695977175
0_higo-removebg-preview,0.23627740429973354,0.2977008020479651
melocoton-1-removebg-preview,0.5739785618002936,0.39322314315875007
1_aguacate-removebg-preview,0.9876509543067201,0.6144291277020897
2_edamame-removebg-preview,0.4965091095446476,0.6675630747558792
3_brocoli-removebg-preview,0.5604923748618051,0.21488931328315586
2_nispero-removebg-preview (1),0.9922825830535648,0.4986929544346378
0_pepino-removebg-preview,0.3212530827377691,0.6066825206505282
5_repollo-removebg-preview,0.7331220617372677,0.25721279298384325
