stimulus,confidence,property
6_ajo-removebg-preview (1),0.907681321784565,0.0
tomate (1) (1),0.525834569943141,0.5980055934781198
1_calabacines (1),0.1258899088382375,0.29481439330201376
5_berenjena,0.3896070153367357,0.47197622108570103
2_mango,0.7655402627441874,0.8603040001090244
4_pimiento,0.24040961484914436,0.43694385422265836
Captura_de_pantalla_2023-03-14_112329-removebg-preview,0.8748434338172192,0.7309348546574617
3_fresas,0.3983278976564059,0.9168005992258044
3_calabaza-removebg-preview,0.9684582808745931,0.005715498103812888
2_edamame-removebg-preview,0.7973266732933488,0.0
1_aguacate-removebg-preview,0.5864528101020176,0.8511799735367859
2_nispero-removebg-preview,0.6855197962835035,0.5913425509839303
3_brocoli-removebg-preview,0.5524081885251151,0.43121194823628406
0_pepino-removebg-preview,0.670157270427756,0.302005342903659
1_perejil-removebg-preview,0.0,0.18055284393048154
5_repollo,0.4213294253579028,0.33875031419847934
melocoton-1-removebg-preview,0.4747706421291172,0.13979549987308726
0_higo-removebg-preview,0.6831029743301138,0.7175246457946325
7_remolacha-removebg-preview,0.7774850145928379,0.32340333558081513
manzana-removebg-preview,0.6945150175852802,0.0
0_champinones-removebg-preview,0.29393236412115176,0.6073612027278377
