stimulus,confidence,property
5_berenjena,0.27559320274998644,0.3794865995064721
2_mango,0.5893023710861272,0.8101770687587009
Captura_de_pantalla_2023-03-14_112329-removebg-preview,0.753588652420651,0.9860724615392934
3_fresas,0.9752771324726673,0.39309917556142204
manzana-removebg-preview,0.03722998744030055,0.6676903601824836
7_remolacha-removebg-preview,0.28142138765515967,0.5853999381023841
1_perejil-removebg-preview,0.409641534600509,0.3750066929953122
0_champinones-removebg-preview,0.45392011194793414,0.6004411216739733
pimiento,0.8032263971951562,0.25300947229869186
3_calabaza-removebg-preview,0.6152889441377728,0.28128513588131154
tomate (1) (1),0.694460617354728,0.5306769890090605
6_ajo-removebg-preview (1),0.9014296127736784,0.7563445174709181
1_calabacines (1) (1),0.4086404939892246,0.2314645469533635
0_higo-removebg-preview,0.09832783593197665,0.45575443205906085
melocoton-1-removebg-preview,0.2544588833751936,0.8563686537812628
1_aguacate-removebg-preview,0.5985018833229204,0.45624987089588986
2_edamame-removebg-preview,0.3402799328177712,0.7198777636088278
3_brocoli-removebg-preview,0.45189024882585943,0.770761106825413
2_nispero-removebg-preview (1),0.2367338451390558,0.6929229324448409
0_pepino-removebg-preview,0.34820233797705524,0.026471578678940455
5_repollo-removebg-preview,0.20124667989146328,0.19896397232005059
