stimulus,confidence,property
5_berenjena,0.5223945738035557,0.6369407674899088
2_mango,0.6012991286620787,0.5034556908991077
Captura_de_pantalla_2023-03-14_112329-removebg-preview,0.8062868706114078,0.9505638348247063
3_fresas,0.9213615880112211,0.5212314167208225
manzana-removebg-preview,0.14411726776075892,0.6849998763326448
7_remolacha-removebg-preview,0.6921571287139319,0.5093596784537773
1_perejil-removebg-preview,0.19358143159337782,0.2522274060223343
0_champinones-removebg-preview,0.8139096529748099,0.1575322246884826
pimiento,0.26064483038603375,0.5414433107195737
3_calabaza-removebg-preview,0.297846860232261,0.8489433097310943
tomate (1) (1),0.6774705698725267,0.6551946628133121
6_ajo-removebg-preview (1),0.38680613018381027,0.38639826887262174
1_calabacines (1) (1),0.35871622469349007,0.12811762817771521
0_higo-removebg-preview,0.6574395780853509,0.11429709024289503
melocoton-1-removebg-preview,0.46195530759654824,0.7741138472203386
1_aguacate-removebg-preview,0.59916159275874,0.28050901956856855
2_edamame-removebg-preview,0.6075692130128872,0.818946350203084
3_brocoli-removebg-preview,0.8202902604370024,0.7007910123025465
2_nispero-removebg-preview (1),0.8897213391977833,0.32265478732952513
0_pepino-removebg-preview,0.7317406676231321,0.8407185063564108
5_repollo-removebg-preview,0.7340570142737988,0.34992171886568724
