stimulus,confidence,property
6_ajo-removebg-preview (1),0.3242953767980364,0.18507789686694864
tomate (1) (1),0.5351949344750041,0.6232260511268102
1_calabacines (1),0.16543205315411605,0.35728766149498525
5_berenjena,0.5687443392410689,0.7772796903397006
2_mango,0.29580318395172356,0.9091279018351894
4_pimiento,0.7727705786730253,0.232409098571692
Captura_de_pantalla_2023-03-14_112329-removebg-preview,0.9849484999888458,0.7760270255382382
3_fresas,0.47443574190598364,0.9395875367100992
3_calabaza-removebg-preview,0.8050420578774932,0.3917028558594051
2_edamame-removebg-preview,0.8055683551370425,0.5084486029764763
1_aguacate-removebg-preview,0.760413735414493,0.8218902383988669
2_nispero-removebg-preview,0.6612423796394059,0.4979045015364818
3_brocoli-removebg-preview,0.2132278520932562,0.6589981260530284
0_pepino-removebg-preview,0.045792714485723196,0.3642324493674356
1_perejil-removebg-preview,0.12330525961964796,0.7808193346218327
5_repollo,0.5093643424832405,0.4658711385095021
melocoton-1-removebg-preview,0.3187774650818706,0.45103236516845346
0_higo-removebg-preview,0.5474000279206861,0.14383748481080583
7_remolacha-removebg-preview,0.43982606937318214,0.313055165983939
manzana-removebg-preview,0.6469743548899993,0.06264166246091951
0_champinones-removebg-preview,0.1524636156562378,0.20317672062061498
